"bcr_patient_barcode","DNAH12_exp","DNAH10_exp","BUB1_exp","C10orf32_exp","SLC12A8_exp","EFNB3_exp","DUOXA1_exp","DUOX1_exp","HDAC1_exp","HRCT1_exp","TNC_exp","AADAC_exp","AAMP_exp","A1CF_exp","PTEN_exp","DTL_exp","BRAF_exp"
"TCGA-RS-A6TP",0,4.1192,1406.69,191.306,329.239,12.9459,742.467,1686.21,3500.99,0.8827,314.233,1.4711,2924.6,0,2572.71,1048.33,165.943
"TCGA-T2-A6WX",1.5298,23.9674,760.836,454.87,665.477,228.455,505.609,3060.68,5042.84,17.3381,11028.6,0.5099,3412.03,0,2195.31,486.996,78.5314
"TCGA-T2-A6WZ",0,8.9586,808.511,315.789,576.708,98.5442,575.812,1506.16,3443.45,2.2396,14757,20.1568,2428.89,0,1664.05,321.389,133.259
"TCGA-T2-A6X0",1.5688,13.4913,924.308,149.031,791.591,3.1375,467.977,1863.05,1790.26,8.1575,1817.87,124.559,2808.69,0,456.193,1209.51,416.033
"TCGA-T2-A6X2",3.1757,5.5575,340.592,346.309,110.355,31.7569,2022.84,5833.74,2962.12,30.9629,12437.6,3.1757,2764.44,0,2306.34,370.762,96.0645
"TCGA-T3-A92M",0.9117,20.9687,927.179,348.262,569.067,340.969,333.16,1079.43,5026.55,2.735,64344.6,0.4558,3323.99,0,1540.28,629.06,127.18
"TCGA-T3-A92N",0,5.9848,1177.91,215.452,538.085,53.3188,505.152,1631.12,5893.91,11.4255,3396.08,3.8085,2485.85,0,1669.21,711.099,56.5832
"TCGA-T7-A92I",4.7861,34.4002,43.3742,1842.36,10.7688,36.195,8.289,145.977,565.361,12.8627,539.934,0,2318.28,0.2991,2361.05,141.49,247.682
"TCGA-TN-A7HI",2.759,6.4376,789.067,370.622,278.657,171.056,354.731,760.558,4144.9,11.9556,1365.69,3.6786,3166.38,2.759,1112.79,1076.92,106.68
"TCGA-TN-A7HJ",1.3186,3.9558,625.021,299.983,229.438,25.0536,1888.38,6995.22,4021.1,26.3722,10386,246.58,2793.47,0,1335.75,402.835,149.662
"TCGA-TN-A7HL",0.51,2.04,357.516,369.757,268.775,42.3307,549.019,889.456,5465.77,10.2002,3793.96,12.2402,3878.11,0,2367.46,509.499,71.4012
"TCGA-UF-A718",0.4328,12.55,488.586,193.876,365.682,66.2123,484.747,1417.72,7438.71,8.6552,17509,22.9363,2676.62,0.8655,749.973,581.197,84.8209
"TCGA-UF-A719",0,2.3745,1163.5,81.7164,373.813,102.103,869.878,2371.1,6253.39,0.3392,1888.74,9.8372,3763.91,0,419.267,862.279,365.672
"TCGA-UF-A71A",0.8917,36.1138,910.425,234.958,485.085,615.273,234.695,1230.55,3264.07,6.6877,18901.4,219.804,2729.49,0,1577.42,403.048,630.432
"TCGA-UF-A71B",0,8.5385,737.157,252.415,880.034,31.3078,540.009,1831.22,5256.3,5.1231,43395.5,12.5231,3755.8,0,1531.81,1010.39,160.524
"TCGA-UF-A71D",0,2.3659,614.353,231.073,291.01,33.123,1271.74,3383.28,4716.09,1.5773,1985.02,5.5205,1919.56,0,1258.68,380.126,215.3
"TCGA-UF-A7J9",0.3964,9.5125,677.765,319.984,613.159,223.543,336.381,1253.27,2694.41,13.0797,107839,275.466,2759.41,0,1365.44,823.623000000001,431.233
"TCGA-UF-A7JA",0,33.3333,495.333,378.513,338.667,570,354.18,1208.67,4599.33,3.3333,14711.3,3.3333,3844,0,1590,507.333,228
"TCGA-UF-A7JC",0.7184,12.931,770.833,282.335,266.523,25.1437,2450.77,9242.82,3390.8,2.1552,12819.7,9.3391,3477.73,0,1383.62,281.609,181.035
"TCGA-UF-A7JD",2.1882,32.8228,913.202,279.788,787.017,135.667,84.938,301.24,2428.88,301.24,16851.9,0.7294,2447.85,0.7294,1914.66,711.889,237.783
"TCGA-UF-A7JF",0,3.3378,463.284,398.531,1172.9,16.0214,936.295,1877.17,4040.72,2.6702,17371.8,187.583,4546.06,0,804.406,216.956,136.182
"TCGA-UF-A7JH",0,11.1845,444.332,471.159,378.749,75.7499,1495.84,3080.33,2290.8,8.6426,13051.3,11.6929,2801.73,0,1331.98,481.444,157.092
"TCGA-UF-A7JJ",0.7068,12.7231,336.455,516.699,458.738,193.674,1047.23,3225.3,3230.96,7.0684,17152.1,16.2573,1472.34,0,2083.05,260.824,154.798
"TCGA-UF-A7JK",0,33.3519,450.806,441.912,386.326,34.4636,890.633999999999,3643.69,4348.53,3.3352,4593.66,59.4775,3430.24,0,1906.61,317.399,112.285
"TCGA-UF-A7JO",0.4001,8.8026,941.883,217.665,1321.6,20.4061,1004.94,3095.73,4536.16,43.213,14357.9,117.635,4055.22,0,1550.07,456.537,77.6233
"TCGA-UF-A7JS",0,23.9163,121.076,492.167,228.7,4.4843,1391.66,2754.86,4192.83,237.668,1614.35,22.4215,2763.83,0,1245.14,919.283,44.843
"TCGA-UF-A7JT",1.2987,11.6883,796.537,364.372,224.416,131.602,905.346,3096.1,3994.81,6.0606,7951.52,0.4329,3193.07,0,1894.81,602.164,95.2381
"TCGA-UF-A7JV",0.3845,7.3056,815.918,264.155,426.031,38.4504,430.134,1494.57,3773.91,44.218,21756,3.4605,2414.69,0,2029.41,522.926,115.736
"TCGA-UP-A6WW",1.3942,11.1537,738.585,192.401,36.9467,32.764,246.149,1219.59,6348.2,6.9711,12510.3,2.0913,5649.01,0,1170.79,677.937,106.309
"TCGA-WA-A7GZ",3.0238,10.7991,902.376,171.603,48.406,56.5875,1632.29,3501.94,3365.44,11.2311,30266.1,140.389,2293.74,0.432,1130.45,501.08,85.9611
"TCGA-WA-A7H4",4.8077,39.2628,522.436,359.776,296.474,112.981,435.769,920.673,4032.05,21.6346,51591.3,29.6474,2154.65,0,1617.79,471.955,128.205
